! ! Instead	1812	1	1	1
! ! Instead	1823	2	2	2
! ! Instead	1830	1	1	1
! ! Instead	1835	4	4	4
! ! Instead	1838	1	1	1
! ! Instead	1839	2	2	2
! ! Instead	1843	1	1	1
! ! Instead	1852	1	1	1
! ! Instead	1854	2	2	2
! ! Instead	1855	2	2	2
! ! Instead	1859	2	2	2
! ! Instead	1860	2	2	2
! ! Instead	1868	2	2	2
! ! Instead	1910	1	1	1
! ! Instead	1929	2	2	2
! ! Instead	1931	1	1	1
! ! Instead	1939	1	1	1
! ! Instead	1950	1	1	1
! ! Instead	1972	1	1	1
! ! Instead	1974	1	1	1
! ! Instead	1982	1	1	1
! ! Instead	1983	1	1	1
! ! Instead	1993	1	1	1
! ! Instead	1994	1	1	1
! ! Instead	1995	2	2	2
! ! Instead	1998	1	1	1
! ! Instead	1999	1	1	1
! ! Instead	2001	2	2	2
! ! Instead	2002	1	1	1
! ! Instead	2004	1	1	1
"! "" 113"	1841	1	1	1
"! "" 113"	1848	1	1	1
"! "" 113"	1849	3	3	3
"! "" 113"	1855	1	1	1
"! "" 113"	1869	1	1	1
"! "" 113"	1879	6	6	6
"! "" 113"	1880	2	2	2
"! "" 113"	1883	1	1	1
"! "" 113"	1886	1	1	1
"! "" 113"	1898	1	1	1
"! "" 113"	1900	1	1	1
"! "" 113"	1902	1	1	1
"! "" 113"	1909	4	4	3
"! "" 113"	1915	2	2	1
"! "" 113"	1922	1	1	1
"! "" 113"	1924	2	2	2
"! "" 113"	1926	2	2	2
"! "" 113"	1927	2	2	2
"! "" 113"	1932	2	2	2
"! "" 113"	1934	4	4	4
"! "" 113"	1937	1	1	1
"! "" 113"	1938	1	1	1
"! "" 113"	1940	2	2	2
"! "" 113"	1941	3	3	3
"! "" 113"	1942	3	3	3
"! "" 113"	1943	2	2	2
"! "" 113"	1945	2	2	2
"! "" 113"	1946	2	2	2
"! "" 113"	1947	1	1	1
"! "" 113"	1948	4	4	4
"! "" 113"	1952	4	4	4
"! "" 113"	1953	2	2	2
"! "" 113"	1954	2	2	2
"! "" 113"	1957	3	3	3
"! "" 113"	1958	1	1	1
"! "" 113"	1960	2	2	2
"! "" 113"	1961	2	2	2
"! "" 113"	1962	3	3	3
"! "" 113"	1963	2	2	2
"! "" 113"	1964	5	5	5
"! "" 113"	1966	1	1	1
"! "" 113"	1967	1	1	1
"! "" 113"	1968	1	1	1
"! "" 113"	1969	1	1	1
"! "" 113"	1970	1	1	1
"! "" 113"	1971	1	1	1
"! "" 113"	1972	3	3	3
"! "" 113"	1975	1	1	1
"! "" 113"	1976	3	3	3
"! "" 113"	1977	2	2	2
"! "" 113"	1978	1	1	1
"! "" 113"	1979	4	4	4
"! "" 113"	1981	3	3	3
"! "" 113"	1983	1	1	1
"! "" 113"	1984	1	1	1
"! "" 113"	1985	1	1	1
"! "" 113"	1987	1	1	1
"! "" 113"	1989	1	1	1
"! "" 113"	1991	3	3	3
"! "" 113"	1993	1	1	1
"! "" 113"	1994	1	1	1
"! "" 113"	1995	3	3	3
"! "" 113"	1996	2	2	2
"! "" 113"	1999	5	5	5
"! "" 113"	2000	1	1	1
"! "" 113"	2001	1	1	1
"! "" 113"	2002	2	2	2
"! "" 113"	2003	2	2	2
"! "" 113"	2007	1	1	1
"! "" <"	1799	1	1	1
"! "" <"	1805	1	1	1
"! "" <"	1810	2	2	2
"! "" <"	1812	1	1	1
"! "" <"	1813	1	1	1
"! "" <"	1814	2	2	2
"! "" <"	1815	1	1	1
"! "" <"	1816	1	1	1
"! "" <"	1817	1	1	1
"! "" <"	1818	3	3	3
"! "" <"	1821	1	1	1
"! "" <"	1822	2	2	2
"! "" <"	1829	1	1	1
"! "" <"	1832	1	1	1
"! "" <"	1833	2	2	2
"! "" <"	1834	1	1	1
"! "" <"	1835	1	1	1
"! "" <"	1838	2	2	2
"! "" <"	1839	1	1	1
"! "" <"	1841	2	2	2
"! "" <"	1843	3	3	3
"! "" <"	1844	2	2	2
"! "" <"	1847	2	2	2
"! "" <"	1850	4	4	4
"! "" <"	1851	1	1	1
"! "" <"	1854	3	3	3
"! "" <"	1855	1	1	1
"! "" <"	1856	2	2	2
"! "" <"	1857	2	2	2
"! "" <"	1859	1	1	1
"! "" <"	1861	1	1	1
"! "" <"	1864	1	1	1
"! "" <"	1867	1	1	1
"! "" <"	1868	1	1	1
"! "" <"	1869	1	1	1
"! "" <"	1872	1	1	1
"! "" <"	1873	1	1	1
"! "" <"	1876	1	1	1
"! "" <"	1877	1	1	1
"! "" <"	1878	5	5	5
"! "" <"	1880	1	1	1
"! "" <"	1881	3	3	3
"! "" <"	1882	2	2	2
"! "" <"	1883	1	1	1
"! "" <"	1884	2	2	2
"! "" <"	1886	1	1	1
"! "" <"	1889	1	1	1
"! "" <"	1891	1	1	1
"! "" <"	1893	1	1	1
"! "" <"	1894	1	1	1
"! "" <"	1895	1	1	1
"! "" <"	1896	2	2	2
"! "" <"	1897	1	1	1
"! "" <"	1898	3	3	3
"! "" <"	1899	2	2	2
"! "" <"	1900	1	1	1
"! "" <"	1901	1	1	1
"! "" <"	1902	4	4	4
"! "" <"	1903	2	2	2
"! "" <"	1904	1	1	1
"! "" <"	1905	1	1	1
"! "" <"	1906	1	1	1
"! "" <"	1907	2	2	1
"! "" <"	1909	4	4	4
"! "" <"	1910	1	1	1
"! "" <"	1911	3	3	3
"! "" <"	1912	2	2	2
"! "" <"	1913	2	2	2
"! "" <"	1914	1	1	1
"! "" <"	1916	2	2	2
"! "" <"	1917	2	2	2
"! "" <"	1918	2	2	2
"! "" <"	1919	2	2	2
"! "" <"	1920	2	2	2
"! "" <"	1921	1	1	1
"! "" <"	1922	3	3	3
"! "" <"	1923	3	3	3
"! "" <"	1924	2	2	2
"! "" <"	1926	1	1	1
"! "" <"	1927	3	3	2
"! "" <"	1928	4	4	3
"! "" <"	1931	1	1	1
"! "" <"	1932	2	2	2
"! "" <"	1934	1	1	1
"! "" <"	1937	2	2	1
"! "" <"	1938	2	2	2
"! "" <"	1939	3	3	3
"! "" <"	1941	1	1	1
"! "" <"	1942	3	3	3
"! "" <"	1944	4	3	3
"! "" <"	1947	1	1	1
"! "" <"	1950	2	2	2
"! "" <"	1953	2	2	2
"! "" <"	1954	1	1	1
"! "" <"	1955	1	1	1
"! "" <"	1957	1	1	1
"! "" <"	1958	3	3	3
"! "" <"	1960	2	2	2
"! "" <"	1961	11	11	5
"! "" <"	1962	1	1	1
"! "" <"	1963	2	2	1
"! "" <"	1964	2	2	2
"! "" <"	1965	2	2	2
"! "" <"	1967	1	1	1
"! "" <"	1971	1	1	1
"! "" <"	1972	1	1	1
"! "" <"	1973	1	1	1
"! "" <"	1974	1	1	1
"! "" <"	1975	2	2	2
"! "" <"	1977	1	1	1
"! "" <"	1978	1	1	1
"! "" <"	1980	13	13	2
"! "" <"	1982	1	1	1
"! "" <"	1984	1	1	1
"! "" <"	1987	2	2	2
"! "" <"	1990	1	1	1
"! "" <"	1992	1	1	1
"! "" <"	1994	9	7	1
"! "" <"	1995	1	1	1
"! "" <"	1996	2	1	1
"! "" <"	1997	1	1	1
"! "" <"	1999	2	1	1
"! "" <"	2001	5	5	5
"! "" <"	2002	2	2	2
"! "" <"	2003	4	4	4
"! "" <"	2004	3	3	3
"! "" <"	2007	2	2	2
"! "" <"	2008	2	2	2
"! "" Angel"	1844	1	1	1
"! "" Angel"	1854	1	1	1
"! "" Angel"	1859	4	4	3
"! "" Angel"	1861	1	1	1
"! "" Angel"	1865	1	1	1
"! "" Angel"	1866	1	1	1
"! "" Angel"	1875	2	2	2
"! "" Angel"	1885	1	1	1
"! "" Angel"	1886	2	2	2
"! "" Angel"	1892	1	1	1
"! "" Angel"	1899	3	3	3
"! "" Angel"	1904	5	5	3
"! "" Angel"	1916	1	1	1
"! "" Angel"	1918	5	5	1
"! "" Angel"	1922	8	8	3
"! "" Angel"	1925	3	3	1
"! "" Angel"	1926	2	2	2
"! "" Angel"	1927	3	3	1
"! "" Angel"	1929	1	1	1
"! "" Angel"	1939	13	8	2
"! "" Angel"	1941	13	12	5
"! "" Angel"	1943	9	9	3
"! "" Angel"	1944	1	1	1
"! "" Angel"	1946	1	1	1
"! "" Angel"	1955	3	2	1
"! "" Angel"	1956	13	11	1
"! "" Angel"	1964	21	20	4
"! "" Angel"	1971	5	4	1
"! "" Angel"	1977	1	1	1
"! "" Angel"	1979	1	1	1
"! "" Angel"	1981	1	1	1
"! "" Angel"	1982	3	3	2
"! "" Angel"	1983	2	2	1
"! "" Angel"	1984	1	1	1
"! "" Angel"	1985	13	10	1
"! "" Angel"	1986	1	1	1
"! "" Angel"	1987	2	2	1
"! "" Angel"	1989	1	1	1
"! "" Angel"	1990	3	3	3
"! "" Angel"	1991	3	3	1
"! "" Angel"	1992	11	11	5
"! "" Angel"	1993	1	1	1
"! "" Angel"	1997	1	1	1
"! "" Angel"	1998	9	8	2
"! "" Angel"	2001	20	16	5
"! "" Angel"	2002	17	16	7
"! "" Angel"	2003	34	31	5
"! "" Angel"	2004	20	16	6
"! "" Angel"	2005	10	9	4
"! "" Angel"	2006	17	15	5
"! "" Angel"	2007	5	5	3
"! "" Angel"	2008	47	41	5
"! "" Aye"	1777	1	1	1
"! "" Aye"	1810	2	2	2
"! "" Aye"	1811	2	2	1
"! "" Aye"	1815	1	1	1
"! "" Aye"	1817	1	1	1
"! "" Aye"	1819	2	2	2
"! "" Aye"	1820	1	1	1
"! "" Aye"	1821	1	1	1
